Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Nuitka, Bubble sort 30000, -1, 1073.942810058593750000, 969.462890625000000000,  ,  , 49251, 43.5, 15228
Nuitka, Bubble sort 30000, -1, 1061.804870605468750000, 957.725952148437500000,  ,  , 48995, 42.8, 15284
Nuitka, Bubble sort 30000, -1, 1095.722595214843750000, 990.886108398437500000,  ,  , 49284, 43.2, 15316
Nuitka, Bubble sort 30000, -1, 1070.789062500000000000, 966.337219238281250000,  ,  , 49186, 43.2, 15188
Nuitka, Bubble sort 30000, -1, 1095.053771972656250000, 988.581604003906250000,  ,  , 50132, 43.8, 15268
Nuitka, Bubble sort 30000, -1, 1055.610717773437500000, 951.729980468750000000,  ,  , 48963, 43.0, 15312
Nuitka, Bubble sort 30000, -1, 1069.913391113281250000, 965.964782714843750000,  ,  , 49010, 43.2, 15104
Nuitka, Bubble sort 30000, -1, 1066.277770996093750000, 962.034729003906250000,  ,  , 49074, 43.2, 15272
Nuitka, Bubble sort 30000, -1, 1082.725585937500000000, 977.533752441406250000,  ,  , 49566, 43.2, 15184
Nuitka, Bubble sort 30000, -1, 1059.527526855468750000, 955.401245117187500000,  ,  , 49042, 43.2, 15320
