Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Nuitka, Fibonacci recursive 43, -1, 975.601806640625000000, 878.249511718750000000,  ,  , 45837, 42.0, 13656
Nuitka, Fibonacci recursive 43, -1, 977.014282226562500000, 879.766418457031250000,  ,  , 45875, 42.2, 13672
Nuitka, Fibonacci recursive 43, -1, 978.386779785156250000, 881.467834472656250000,  ,  , 45637, 42.8, 13552
Nuitka, Fibonacci recursive 43, -1, 971.618286132812500000, 874.956970214843750000,  ,  , 45606, 42.8, 13528
Nuitka, Fibonacci recursive 43, -1, 974.568847656250000000, 877.326477050781250000,  ,  , 45761, 42.5, 13624
Nuitka, Fibonacci recursive 43, -1, 983.789428710937500000, 886.025085449218750000,  ,  , 46005, 43.0, 13608
Nuitka, Fibonacci recursive 43, -1, 972.166076660156250000, 875.350891113281250000,  ,  , 45675, 42.5, 13612
Nuitka, Fibonacci recursive 43, -1, 972.359069824218750000, 875.449584960937500000,  ,  , 45673, 42.5, 13680
Nuitka, Fibonacci recursive 43, -1, 969.568176269531250000, 872.547546386718750000,  ,  , 45677, 42.2, 13540
Nuitka, Fibonacci recursive 43, -1, 974.727111816406250000, 877.321533203125000000,  ,  , 45851, 42.8, 13648
