Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, -O2: Fibonacci recursive__43, -1, 14.083435058593750000, 12.460021972656250000,  ,  , 762, 30.2, 1472
C, -O2: Fibonacci recursive__43, -1, 13.800170898437500000, 12.183715820312500000,  ,  , 760, 37.2, 1472
C, -O2: Fibonacci recursive__43, -1, 14.071411132812500000, 12.458068847656250000,  ,  , 763, 30.0, 1472
C, -O2: Fibonacci recursive__43, -1, 13.758911132812500000, 12.148132324218750000,  ,  , 758, 36.2, 1472
C, -O2: Fibonacci recursive__43, -1, 14.094055175781250000, 12.479187011718750000,  ,  , 766, 30.0, 1472
C, -O2: Fibonacci recursive__43, -1, 13.743835449218750000, 12.136291503906250000,  ,  , 764, 37.0, 1372
C, -O2: Fibonacci recursive__43, -1, 14.065551757812500000, 12.444458007812500000,  ,  , 764, 30.0, 1472
C, -O2: Fibonacci recursive__43, -1, 13.886047363281250000, 12.267883300781250000,  ,  , 761, 36.0, 1472
C, -O2: Fibonacci recursive__43, -1, 14.092895507812500000, 12.472595214843750000,  ,  , 762, 30.2, 1472
C, -O2: Fibonacci recursive__43, -1, 13.663757324218750000, 12.046630859375000000,  ,  , 761, 36.5, 1472
