Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.12.8, Insertion sort 40000 integers., -1, 572.992614746093750000, 513.446533203125000000,  ,  , 28062, 42.8, 12292
Python-3.12.8, Insertion sort 40000 integers., -1, 571.518371582031250000, 511.958435058593750000,  ,  , 28078, 42.8, 12276
Python-3.12.8, Insertion sort 40000 integers., -1, 569.060791015625000000, 509.715026855468750000,  ,  , 27954, 43.0, 12264
Python-3.12.8, Insertion sort 40000 integers., -1, 573.710937500000000000, 513.999023437500000000,  ,  , 28144, 42.5, 12292
Python-3.12.8, Insertion sort 40000 integers., -1, 574.090454101562500000, 514.308349609375000000,  ,  , 28156, 42.8, 12392
Python-3.12.8, Insertion sort 40000 integers., -1, 575.082153320312500000, 515.555236816406250000,  ,  , 28045, 43.2, 12296
Python-3.12.8, Insertion sort 40000 integers., -1, 573.070007324218750000, 513.200012207031250000,  ,  , 28216, 42.2, 12284
Python-3.12.8, Insertion sort 40000 integers., -1, 576.432128906250000000, 516.375000000000000000,  ,  , 28295, 42.5, 12268
Python-3.12.8, Insertion sort 40000 integers., -1, 573.095275878906250000, 513.241760253906250000,  ,  , 28193, 42.5, 12300
Python-3.12.8, Insertion sort 40000 integers., -1, 570.127380371093750000, 510.638732910156250000,  ,  , 28024, 42.5, 12236
