Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-2.0.1, MergeSort_6000000, -1, 1426.905822753906250000, 1290.741394042968750000,  ,  , 63772, 41.5, 409604
Python-2.0.1, MergeSort_6000000, -1, 1422.796020507812500000, 1287.545532226562500000,  ,  , 63362, 41.2, 409636
Python-2.0.1, MergeSort_6000000, -1, 1421.386596679687500000, 1287.202941894531250000,  ,  , 62853, 41.8, 409636
Python-2.0.1, MergeSort_6000000, -1, 1465.091369628906250000, 1328.878601074218750000,  ,  , 63801, 41.8, 409644
Python-2.0.1, MergeSort_6000000, -1, 1414.990417480468750000, 1279.695190429687500000,  ,  , 63384, 42.0, 409752
Python-2.0.1, MergeSort_6000000, -1, 1413.874755859375000000, 1278.881164550781250000,  ,  , 63224, 41.8, 409692
Python-2.0.1, MergeSort_6000000, -1, 1425.098022460937500000, 1290.633911132812500000,  ,  , 62996, 41.5, 409676
Python-2.0.1, MergeSort_6000000, -1, 1424.930725097656250000, 1289.655944824218750000,  ,  , 63378, 40.5, 409628
Python-2.0.1, MergeSort_6000000, -1, 1425.594543457031250000, 1289.740539550781250000,  ,  , 63647, 41.5, 409748
Python-2.0.1, MergeSort_6000000, -1, 1424.903137207031250000, 1290.051574707031250000,  ,  , 63179, 41.0, 409624
