Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Codon, Merge Sort 9 000 000, -1, 116.091796875000000000, 103.903381347656250000,  ,  , 5510, 39.0, 378328
Codon, Merge Sort 9 000 000, -1, 116.923339843750000000, 104.794616699218750000,  ,  , 5493, 39.0, 378200
Codon, Merge Sort 9 000 000, -1, 118.112792968750000000, 105.912963867187500000,  ,  , 5522, 40.5, 382012
Codon, Merge Sort 9 000 000, -1, 117.364074707031250000, 105.226501464843750000,  ,  , 5490, 40.8, 398552
Codon, Merge Sort 9 000 000, -1, 118.020507812500000000, 105.884338378906250000,  ,  , 5501, 41.2, 389848
Codon, Merge Sort 9 000 000, -1, 118.192504882812500000, 105.915405273437500000,  ,  , 5562, 41.2, 360708
Codon, Merge Sort 9 000 000, -1, 118.630371093750000000, 106.448486328125000000,  ,  , 5516, 41.5, 407628
Codon, Merge Sort 9 000 000, -1, 120.274963378906250000, 107.958190917968750000,  ,  , 5583, 42.0, 375380
Codon, Merge Sort 9 000 000, -1, 118.447326660156250000, 106.337707519531250000,  ,  , 5483, 42.5, 378328
Codon, Merge Sort 9 000 000, -1, 119.457397460937500000, 107.334960937500000000,  ,  , 5485, 42.5, 382552
