Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Nuitka, Merge sort 9000000, -1, 1030.444335937500000000, 918.653991699218750000,  ,  , 52133, 42.2, 436980
Nuitka, Merge sort 9000000, -1, 1025.750366210937500000, 913.706970214843750000,  ,  , 52225, 41.2, 436996
Nuitka, Merge sort 9000000, -1, 1035.256347656250000000, 923.350952148437500000,  ,  , 52179, 41.8, 437148
Nuitka, Merge sort 9000000, -1, 1032.578247070312500000, 920.449035644531250000,  ,  , 52264, 41.5, 437000
Nuitka, Merge sort 9000000, -1, 1013.204467773437500000, 901.387084960937500000,  ,  , 52143, 41.2, 437224
Nuitka, Merge sort 9000000, -1, 1023.876342773437500000, 911.837097167968750000,  ,  , 52243, 41.5, 436944
Nuitka, Merge sort 9000000, -1, 1012.000427246093750000, 899.957031250000000000,  ,  , 52231, 41.0, 437016
Nuitka, Merge sort 9000000, -1, 1024.370605468750000000, 913.055236816406250000,  ,  , 51876, 41.8, 437036
Nuitka, Merge sort 9000000, -1, 1034.880493164062500000, 923.045104980468750000,  ,  , 52154, 41.2, 437080
Nuitka, Merge sort 9000000, -1, 1035.263427734375000000, 923.207275390625000000,  ,  , 52246, 42.2, 436864
