Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Nuitka, Primes 300000000, -1, 1433.524963378906250000, 1290.317260742187500000,  ,  , 67412, 43.2, 13652
Nuitka, Primes 300000000, -1, 1427.137817382812500000, 1285.394104003906250000,  ,  , 66693, 43.5, 13680
Nuitka, Primes 300000000, -1, 1406.264709472656250000, 1265.391357421875000000,  ,  , 66280, 43.5, 13648
Nuitka, Primes 300000000, -1, 1411.670715332031250000, 1270.724609375000000000,  ,  , 66347, 43.8, 13608
Nuitka, Primes 300000000, -1, 1439.211303710937500000, 1296.567443847656250000,  ,  , 67250, 44.0, 13684
Nuitka, Primes 300000000, -1, 1411.321411132812500000, 1270.702453613281250000,  ,  , 66278, 43.0, 13508
Nuitka, Primes 300000000, -1, 1401.425292968750000000, 1260.644165039062500000,  ,  , 66279, 43.8, 13660
Nuitka, Primes 300000000, -1, 1403.716491699218750000, 1263.091735839843750000,  ,  , 66288, 43.8, 13612
Nuitka, Primes 300000000, -1, 1410.202087402343750000, 1269.102539062500000000,  ,  , 66378, 43.2, 13572
Nuitka, Primes 300000000, -1, 1415.971923828125000000, 1274.793457031250000000,  ,  , 66396, 43.2, 13496
