Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Codon, -release: Validate dataset, -1, 513.823608398437500000, 461.918090820312500000,  ,  , 22556, 41.5, 2129360
Codon, -release: Validate dataset, -1, 508.978210449218750000, 457.212097167968750000,  ,  , 22479, 40.2, 2136868
Codon, -release: Validate dataset, -1, 511.972167968750000000, 460.061157226562500000,  ,  , 22552, 40.2, 2137020
Codon, -release: Validate dataset, -1, 509.926025390625000000, 458.172302246093750000,  ,  , 22487, 41.0, 2136928
Codon, -release: Validate dataset, -1, 506.852722167968750000, 455.046752929687500000,  ,  , 22508, 39.8, 2137124
Codon, -release: Validate dataset, -1, 511.310791015625000000, 459.367004394531250000,  ,  , 22567, 40.8, 2136356
Codon, -release: Validate dataset, -1, 509.006347656250000000, 457.255371093750000000,  ,  , 22485, 39.8, 2143108
Codon, -release: Validate dataset, -1, 511.414184570312500000, 459.431701660156250000,  ,  , 22593, 40.2, 2136912
Codon, -release: Validate dataset, -1, 510.636291503906250000, 458.870605468750000000,  ,  , 22499, 40.5, 2136992
Codon, -release: Validate dataset, -1, 509.780639648437500000, 457.908081054687500000,  ,  , 22536, 40.2, 2136832
