Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Codon, -release: Query_2 Top_10, -1, 861.008605957031250000, 769.377868652343750000,  ,  , 39516, 41.2, 9422932
Codon, -release: Query_2 Top_10, -1, 870.140014648437500000, 779.344238281250000000,  ,  , 39387, 41.8, 9841396
Codon, -release: Query_2 Top_10, -1, 862.844604492187500000, 771.123474121093750000,  ,  , 39645, 41.5, 9488892
Codon, -release: Query_2 Top_10, -1, 856.135131835937500000, 765.146423339843750000,  ,  , 39297, 41.5, 9489204
Codon, -release: Query_2 Top_10, -1, 892.863952636718750000, 800.147094726562500000,  ,  , 40002, 41.8, 9489000
Codon, -release: Query_2 Top_10, -1, 877.145446777343750000, 784.556091308593750000,  ,  , 39900, 41.5, 9361492
Codon, -release: Query_2 Top_10, -1, 829.683593750000000000, 741.127136230468750000,  ,  , 38504, 41.2, 9841392
Codon, -release: Query_2 Top_10, -1, 858.857177734375000000, 767.580139160156250000,  ,  , 39430, 41.8, 9488720
Codon, -release: Query_2 Top_10, -1, 860.409057617187500000, 769.240295410156250000,  ,  , 39377, 42.0, 9488824
Codon, -release: Query_2 Top_10, -1, 862.974060058593750000, 771.677734375000000000,  ,  , 39429, 41.8, 9489008
