Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.10.16, Query_2 Top_100_000, -1, 1196.386230468750000000, 1069.406982421875000000,  ,  , 58244, 42.8, 10831152
Python-3.10.16, Query_2 Top_100_000, -1, 1220.437011718750000000, 1092.357055664062500000,  ,  , 58774, 42.5, 10831004
Python-3.10.16, Query_2 Top_100_000, -1, 1217.928161621093750000, 1090.755371093750000000,  ,  , 58342, 43.0, 10831020
Python-3.10.16, Query_2 Top_100_000, -1, 1220.131469726562500000, 1092.019165039062500000,  ,  , 58736, 43.2, 10831124
Python-3.10.16, Query_2 Top_100_000, -1, 1227.360473632812500000, 1098.498168945312500000,  ,  , 59128, 43.0, 10831060
Python-3.10.16, Query_2 Top_100_000, -1, 1217.569946289062500000, 1089.914733886718750000,  ,  , 58582, 41.8, 10831048
Python-3.10.16, Query_2 Top_100_000, -1, 1224.235107421875000000, 1095.790405273437500000,  ,  , 58957, 42.5, 10831140
Python-3.10.16, Query_2 Top_100_000, -1, 1212.411193847656250000, 1084.958374023437500000,  ,  , 58441, 43.2, 10830940
Python-3.10.16, Query_2 Top_100_000, -1, 1228.300598144531250000, 1100.355468750000000000,  ,  , 58665, 43.0, 10831284
Python-3.10.16, Query_2 Top_100_000, -1, 1212.850158691406250000, 1086.341979980468750000,  ,  , 58009, 42.5, 10831092
