Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Codon, -release: Struct query 1, -1, 794.627929687500000000, 713.082275390625000000,  ,  , 35129, 42.0, 9611832
Codon, -release: Struct query 1, -1, 790.603576660156250000, 709.039611816406250000,  ,  , 35155, 41.2, 9611860
Codon, -release: Struct query 1, -1, 792.680664062500000000, 711.108581542968750000,  ,  , 35131, 41.5, 9607276
Codon, -release: Struct query 1, -1, 790.245056152343750000, 708.422485351562500000,  ,  , 35250, 41.5, 9607488
Codon, -release: Struct query 1, -1, 844.853027343750000000, 758.689086914062500000,  ,  , 36681, 41.5, 9143956
Codon, -release: Struct query 1, -1, 791.220031738281250000, 709.604614257812500000,  ,  , 35143, 41.5, 9607280
Codon, -release: Struct query 1, -1, 794.583129882812500000, 712.796569824218750000,  ,  , 35234, 42.2, 9607252
Codon, -release: Struct query 1, -1, 795.336730957031250000, 713.678466796875000000,  ,  , 35176, 41.2, 9607416
Codon, -release: Struct query 1, -1, 792.509216308593750000, 711.086853027343750000,  ,  , 35077, 41.5, 9611964
Codon, -release: Struct query 1, -1, 798.315612792968750000, 716.263854980468750000,  ,  , 35349, 42.0, 9607336
