Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Codon, -release: Query_1 'AAbreu' #1 Access, -1, 835.746093750000000000, 749.970947265625000000,  ,  , 36701, 42.2, 10397512
Codon, -release: Query_1 'AAbreu' #1 Access, -1, 827.002685546875000000, 741.539672851562500000,  ,  , 36576, 41.8, 10396628
Codon, -release: Query_1 'AAbreu' #1 Access, -1, 836.314270019531250000, 750.137756347656250000,  ,  , 36894, 41.2, 10394560
Codon, -release: Query_1 'AAbreu' #1 Access, -1, 833.074890136718750000, 747.645324707031250000,  ,  , 36536, 42.2, 10394956
Codon, -release: Query_1 'AAbreu' #1 Access, -1, 833.948913574218750000, 748.168640136718750000,  ,  , 36727, 42.0, 10410880
Codon, -release: Query_1 'AAbreu' #1 Access, -1, 831.968566894531250000, 746.467651367187500000,  ,  , 36578, 42.0, 10410876
Codon, -release: Query_1 'AAbreu' #1 Access, -1, 828.498718261718750000, 743.208190917968750000,  ,  , 36483, 42.0, 10404148
Codon, -release: Query_1 'AAbreu' #1 Access, -1, 833.999267578125000000, 748.298950195312500000,  ,  , 36674, 42.0, 10395252
Codon, -release: Query_1 'AAbreu' #1 Access, -1, 830.859313964843750000, 745.409729003906250000,  ,  , 36571, 42.2, 10404828
Codon, -release: Query_1 'AAbreu' #1 Access, -1, 836.052307128906250000, 750.131530761718750000,  ,  , 36781, 41.5, 10395076
