Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.9.21, Query_1 'BeaNogueira' #33 accesses, -1, 1226.832763671875000000, 1096.175109863281250000,  ,  , 59457, 43.0, 11133980
Python-3.9.21, Query_1 'BeaNogueira' #33 accesses, -1, 1236.757995605468750000, 1105.070190429687500000,  ,  , 59884, 42.5, 11134192
Python-3.9.21, Query_1 'BeaNogueira' #33 accesses, -1, 1241.803649902343750000, 1109.704833984375000000,  ,  , 60140, 42.5, 11134232
Python-3.9.21, Query_1 'BeaNogueira' #33 accesses, -1, 1219.886230468750000000, 1089.448120117187500000,  ,  , 59276, 43.2, 11134168
Python-3.9.21, Query_1 'BeaNogueira' #33 accesses, -1, 1217.926208496093750000, 1087.446594238281250000,  ,  , 59326, 42.8, 11134228
Python-3.9.21, Query_1 'BeaNogueira' #33 accesses, -1, 1231.774719238281250000, 1100.257934570312500000,  ,  , 59883, 42.8, 11134236
Python-3.9.21, Query_1 'BeaNogueira' #33 accesses, -1, 1219.502868652343750000, 1089.344665527343750000,  ,  , 59237, 42.2, 11134224
Python-3.9.21, Query_1 'BeaNogueira' #33 accesses, -1, 1216.078430175781250000, 1086.297973632812500000,  ,  , 59061, 43.2, 11134224
Python-3.9.21, Query_1 'BeaNogueira' #33 accesses, -1, 1216.020507812500000000, 1086.110961914062500000,  ,  , 59123, 42.8, 11134164
Python-3.9.21, Query_1 'BeaNogueira' #33 accesses, -1, 1226.108825683593750000, 1095.514404296875000000,  ,  , 59456, 43.0, 11134184
