Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.11.11, Quick sort 17000000 integers., -1, 1050.365478515625000000, 931.312438964843750000,  ,  , 54823, 46.0, 676120
Python-3.11.11, Quick sort 17000000 integers., -1, 1034.313659667968750000, 916.451354980468750000,  ,  , 54226, 43.2, 676136
Python-3.11.11, Quick sort 17000000 integers., -1, 1024.313049316406250000, 906.699707031250000000,  ,  , 54148, 42.8, 676016
Python-3.11.11, Quick sort 17000000 integers., -1, 1029.169677734375000000, 910.877563476562500000,  ,  , 54438, 43.5, 675936
Python-3.11.11, Quick sort 17000000 integers., -1, 1036.557983398437500000, 918.236145019531250000,  ,  , 54477, 44.0, 676120
Python-3.11.11, Quick sort 17000000 integers., -1, 1028.075622558593750000, 909.895812988281250000,  ,  , 54424, 43.0, 676044
Python-3.11.11, Quick sort 17000000 integers., -1, 1050.623352050781250000, 930.423095703125000000,  ,  , 55389, 43.0, 676112
Python-3.11.11, Quick sort 17000000 integers., -1, 1030.563537597656250000, 912.300415039062500000,  ,  , 54435, 43.5, 675892
Python-3.11.11, Quick sort 17000000 integers., -1, 1032.518371582031250000, 914.769653320312500000,  ,  , 54204, 43.2, 675952
Python-3.11.11, Quick sort 17000000 integers., -1, 1029.121337890625000000, 910.932495117187500000,  ,  , 54416, 43.8, 675944
