Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Nuitka, Quick sort 17000000, -1, 1761.273010253906250000, 1573.385192871093750000,  ,  , 87705, 43.2, 680040
Nuitka, Quick sort 17000000, -1, 1731.087585449218750000, 1543.686035156250000000,  ,  , 87447, 44.0, 680096
Nuitka, Quick sort 17000000, -1, 1765.503906250000000000, 1577.653991699218750000,  ,  , 87628, 43.8, 680044
Nuitka, Quick sort 17000000, -1, 1755.679382324218750000, 1569.076110839843750000,  ,  , 87029, 42.8, 680052
Nuitka, Quick sort 17000000, -1, 1749.900573730468750000, 1562.787597656250000000,  ,  , 87345, 43.2, 680120
Nuitka, Quick sort 17000000, -1, 1771.232116699218750000, 1583.793273925781250000,  ,  , 87405, 43.5, 680156
Nuitka, Quick sort 17000000, -1, 1768.458740234375000000, 1581.759094238281250000,  ,  , 87066, 43.0, 680076
Nuitka, Quick sort 17000000, -1, 1752.986083984375000000, 1565.877014160156250000,  ,  , 87346, 43.8, 680232
Nuitka, Quick sort 17000000, -1, 1746.097167968750000000, 1558.681091308593750000,  ,  , 87461, 43.8, 680112
Nuitka, Quick sort 17000000, -1, 1741.724182128906250000, 1554.478820800781250000,  ,  , 87380, 44.5, 680080
