Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.13.2, Quick sort 9000000 integers., -1, 594.541137695312500000, 529.524108886718750000,  ,  , 30048, 41.5, 362932
Python-3.13.2, Quick sort 9000000 integers., -1, 581.616271972656250000, 516.858398437500000000,  ,  , 29923, 41.2, 363016
Python-3.13.2, Quick sort 9000000 integers., -1, 591.504089355468750000, 526.290161132812500000,  ,  , 30147, 41.8, 362924
Python-3.13.2, Quick sort 9000000 integers., -1, 586.318176269531250000, 521.423278808593750000,  ,  , 29974, 41.0, 362976
Python-3.13.2, Quick sort 9000000 integers., -1, 581.615173339843750000, 517.064025878906250000,  ,  , 29821, 41.2, 362908
Python-3.13.2, Quick sort 9000000 integers., -1, 583.843017578125000000, 519.114685058593750000,  ,  , 29896, 41.0, 362984
Python-3.13.2, Quick sort 9000000 integers., -1, 583.504943847656250000, 518.569274902343750000,  ,  , 30012, 41.5, 363000
Python-3.13.2, Quick sort 9000000 integers., -1, 584.774780273437500000, 519.635375976562500000,  ,  , 30104, 41.5, 363060
Python-3.13.2, Quick sort 9000000 integers., -1, 582.688110351562500000, 517.726562500000000000,  ,  , 30000, 41.5, 363056
Python-3.13.2, Quick sort 9000000 integers., -1, 572.268920898437500000, 507.323486328125000000,  ,  , 30011, 41.8, 362932
