Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.13.2, Shell sort 4000000 integers., -1, 1227.013488769531250000, 1094.483642578125000000,  ,  , 62069, 42.8, 167004
Python-3.13.2, Shell sort 4000000 integers., -1, 1272.310302734375000000, 1139.700744628906250000,  ,  , 62158, 42.5, 167084
Python-3.13.2, Shell sort 4000000 integers., -1, 1235.010803222656250000, 1101.544250488281250000,  ,  , 62525, 42.5, 167004
Python-3.13.2, Shell sort 4000000 integers., -1, 1238.938476562500000000, 1106.172241210937500000,  ,  , 62182, 42.8, 167056
Python-3.13.2, Shell sort 4000000 integers., -1, 1220.693298339843750000, 1088.780944824218750000,  ,  , 61777, 43.2, 167012
Python-3.13.2, Shell sort 4000000 integers., -1, 1243.647888183593750000, 1109.186096191406250000,  ,  , 62985, 42.8, 166972
Python-3.13.2, Shell sort 4000000 integers., -1, 1227.292785644531250000, 1094.864746093750000000,  ,  , 62034, 42.2, 167140
Python-3.13.2, Shell sort 4000000 integers., -1, 1253.582580566406250000, 1119.508483886718750000,  ,  , 62842, 43.2, 167092
Python-3.13.2, Shell sort 4000000 integers., -1, 1261.395263671875000000, 1129.151062011718750000,  ,  , 61947, 43.0, 167028
Python-3.13.2, Shell sort 4000000 integers., -1, 1299.271362304687500000, 1165.459106445312500000,  ,  , 62685, 43.5, 167056
