Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Codon, Shell sort, -1, 61.171569824218750000, 54.577880859375000000,  ,  , 3039, 37.8, 234692
Codon, Shell sort, -1, 61.571838378906250000, 54.966003417968750000,  ,  , 3051, 37.8, 251512
Codon, Shell sort, -1, 61.454284667968750000, 54.851379394531250000,  ,  , 3049, 37.8, 227828
Codon, Shell sort, -1, 61.394958496093750000, 54.792297363281250000,  ,  , 3053, 38.2, 239764
Codon, Shell sort, -1, 61.574523925781250000, 54.949035644531250000,  ,  , 3056, 37.8, 251512
Codon, Shell sort, -1, 61.430175781250000000, 54.840270996093750000,  ,  , 3050, 38.8, 247128
Codon, Shell sort, -1, 61.572082519531250000, 54.949462890625000000,  ,  , 3059, 37.8, 239612
Codon, Shell sort, -1, 61.857177734375000000, 55.209472656250000000,  ,  , 3070, 38.0, 251456
Codon, Shell sort, -1, 61.738098144531250000, 55.084228515625000000,  ,  , 3081, 38.0, 239568
Codon, Shell sort, -1, 61.879516601562500000, 55.232910156250000000,  ,  , 3067, 38.8, 241576
