Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Nuitka, Shell sort 4000000, -1, 1263.153930664062500000, 1127.393981933593750000,  ,  , 63615, 43.2, 170592
Nuitka, Shell sort 4000000, -1, 1247.764892578125000000, 1112.417907714843750000,  ,  , 63415, 42.2, 170536
Nuitka, Shell sort 4000000, -1, 1255.667419433593750000, 1120.052551269531250000,  ,  , 63556, 42.5, 170868
Nuitka, Shell sort 4000000, -1, 1266.891845703125000000, 1131.276428222656250000,  ,  , 63552, 42.8, 170764
Nuitka, Shell sort 4000000, -1, 1255.313293457031250000, 1119.697998046875000000,  ,  , 63564, 42.0, 170716
Nuitka, Shell sort 4000000, -1, 1257.295837402343750000, 1121.911865234375000000,  ,  , 63459, 43.0, 170616
Nuitka, Shell sort 4000000, -1, 1261.334655761718750000, 1125.706359863281250000,  ,  , 63590, 42.8, 170884
Nuitka, Shell sort 4000000, -1, 1245.336669921875000000, 1110.366638183593750000,  ,  , 63242, 42.8, 170856
Nuitka, Shell sort 4000000, -1, 1247.067932128906250000, 1111.561645507812500000,  ,  , 63507, 42.8, 170764
Nuitka, Shell sort 4000000, -1, 1252.743164062500000000, 1117.340881347656250000,  ,  , 63482, 42.8, 170716
