Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.12.8, Python sort 50000000 integers., -1, 969.737976074218750000, 867.434448242187500000,  ,  , 45984, 42.8, 2171312
Python-3.12.8, Python sort 50000000 integers., -1, 971.277465820312500000, 868.698181152343750000,  ,  , 46104, 42.8, 2171308
Python-3.12.8, Python sort 50000000 integers., -1, 965.274841308593750000, 863.120361328125000000,  ,  , 45911, 42.5, 2171344
Python-3.12.8, Python sort 50000000 integers., -1, 965.082214355468750000, 862.968566894531250000,  ,  , 45865, 42.2, 2171504
Python-3.12.8, Python sort 50000000 integers., -1, 966.111572265625000000, 863.707946777343750000,  ,  , 45994, 42.2, 2171380
Python-3.12.8, Python sort 50000000 integers., -1, 1019.919616699218750000, 911.073974609375000000,  ,  , 49175, 42.5, 2171320
Python-3.12.8, Python sort 50000000 integers., -1, 970.125976562500000000, 867.474304199218750000,  ,  , 46161, 42.2, 2171312
Python-3.12.8, Python sort 50000000 integers., -1, 961.379150390625000000, 859.338867187500000000,  ,  , 45858, 42.2, 2171464
Python-3.12.8, Python sort 50000000 integers., -1, 967.493591308593750000, 864.973510742187500000,  ,  , 46047, 42.2, 2171244
Python-3.12.8, Python sort 50000000 integers., -1, 968.812377929687500000, 866.375732421875000000,  ,  , 46057, 43.0, 2171244
