Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Codon, Tim sort 50000000, -1, 125.160766601562500000, 110.356140136718750000,  ,  , 6786, 38.5, 1139296
Codon, Tim sort 50000000, -1, 123.742370605468750000, 109.045288085937500000,  ,  , 6737, 38.8, 1075104
Codon, Tim sort 50000000, -1, 122.786437988281250000, 108.208496093750000000,  ,  , 6682, 38.0, 897316
Codon, Tim sort 50000000, -1, 123.639892578125000000, 108.928527832031250000,  ,  , 6737, 39.2, 1045848
Codon, Tim sort 50000000, -1, 124.796630859375000000, 109.960144042968750000,  ,  , 6799, 38.5, 1161564
Codon, Tim sort 50000000, -1, 123.920532226562500000, 109.198486328125000000,  ,  , 6748, 38.2, 1075104
Codon, Tim sort 50000000, -1, 123.908203125000000000, 109.201293945312500000,  ,  , 6746, 39.2, 1044900
Codon, Tim sort 50000000, -1, 124.918701171875000000, 110.065979003906250000,  ,  , 6808, 39.2, 1155632
Codon, Tim sort 50000000, -1, 124.401428222656250000, 109.583557128906250000,  ,  , 6799, 39.0, 1150628
Codon, Tim sort 50000000, -1, 122.761047363281250000, 108.158142089843750000,  ,  , 6690, 39.2, 897324
