Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Nuitka, Tim sort 50000000, -1, 1050.951477050781250000, 941.093688964843750000,  ,  , 49522, 42.2, 2174512
Nuitka, Tim sort 50000000, -1, 1059.660156250000000000, 949.037597656250000000,  ,  , 49915, 42.8, 2174496
Nuitka, Tim sort 50000000, -1, 1047.954528808593750000, 937.937438964843750000,  ,  , 49663, 42.8, 2174456
Nuitka, Tim sort 50000000, -1, 1047.361877441406250000, 937.963867187500000000,  ,  , 49379, 43.5, 2174944
Nuitka, Tim sort 50000000, -1, 1046.905944824218750000, 937.140197753906250000,  ,  , 49499, 42.5, 2174836
Nuitka, Tim sort 50000000, -1, 1041.541198730468750000, 931.967956542968750000,  ,  , 49371, 42.2, 2174628
Nuitka, Tim sort 50000000, -1, 1041.834472656250000000, 932.317260742187500000,  ,  , 49374, 42.5, 2174392
Nuitka, Tim sort 50000000, -1, 1054.668273925781250000, 944.738098144531250000,  ,  , 49587, 43.0, 2174576
Nuitka, Tim sort 50000000, -1, 1052.044616699218750000, 942.048889160156250000,  ,  , 49637, 42.5, 2174500
Nuitka, Tim sort 50000000, -1, 1049.161315917968750000, 939.697875976562500000,  ,  , 49357, 42.8, 2174680
