Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Codon, -release: Fibonacci recursive__41, -1, 50.516113281250000000, 45.299987792968750000,  ,  , 2424, 37.8, 159344
Codon, -release: Fibonacci recursive__41, -1, 50.708312988281250000, 45.496520996093750000,  ,  , 2423, 37.8, 159484
Codon, -release: Fibonacci recursive__41, -1, 50.565368652343750000, 45.364990234375000000,  ,  , 2424, 37.5, 159488
Codon, -release: Fibonacci recursive__41, -1, 50.428649902343750000, 45.198181152343750000,  ,  , 2438, 37.8, 159424
Codon, -release: Fibonacci recursive__41, -1, 50.326538085937500000, 45.158935546875000000,  ,  , 2403, 37.2, 159448
Codon, -release: Fibonacci recursive__41, -1, 49.816345214843750000, 44.623046875000000000,  ,  , 2417, 38.2, 159308
Codon, -release: Fibonacci recursive__41, -1, 50.220458984375000000, 45.025146484375000000,  ,  , 2422, 37.0, 159532
Codon, -release: Fibonacci recursive__41, -1, 50.486450195312500000, 45.278686523437500000,  ,  , 2429, 37.8, 159520
Codon, -release: Fibonacci recursive__41, -1, 50.876220703125000000, 45.675537109375000000,  ,  , 2425, 37.8, 159396
Codon, -release: Fibonacci recursive__41, -1, 49.787841796875000000, 44.591796875000000000,  ,  , 2419, 37.5, 159548
