Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python-3.13.2, Fibonacci recursive__43, -1, 1614.594055175781250000, 1452.385437011718750000,  ,  , 76400, 41.0, 9932
Python-3.13.2, Fibonacci recursive__43, -1, 1593.318237304687500000, 1432.437438964843750000,  ,  , 75793, 41.0, 9972
Python-3.13.2, Fibonacci recursive__43, -1, 1546.097473144531250000, 1384.663696289062500000,  ,  , 76049, 41.5, 9884
Python-3.13.2, Fibonacci recursive__43, -1, 1575.249450683593750000, 1414.356140136718750000,  ,  , 75772, 41.5, 10000
Python-3.13.2, Fibonacci recursive__43, -1, 1596.919982910156250000, 1435.754699707031250000,  ,  , 75904, 41.2, 9956
Python-3.13.2, Fibonacci recursive__43, -1, 1569.414855957031250000, 1407.942382812500000000,  ,  , 76058, 41.5, 9884
Python-3.13.2, Fibonacci recursive__43, -1, 1582.937866210937500000, 1421.665588378906250000,  ,  , 75950, 41.2, 9976
Python-3.13.2, Fibonacci recursive__43, -1, 1591.161437988281250000, 1430.550354003906250000,  ,  , 75742, 41.8, 9900
Python-3.13.2, Fibonacci recursive__43, -1, 1641.044982910156250000, 1473.582702636718750000,  ,  , 78939, 41.5, 10000
Python-3.13.2, Fibonacci recursive__43, -1, 1566.589355468750000000, 1405.111022949218750000,  ,  , 76048, 41.5, 10112
